Instance,Time,Cost,FacilityState,CustomerState
54,9.000000,10403,1 1 1 1 1 1 1 1 1 1 ,5 8 8 8 8 8 8 8 8 8 3 3 3 3 3 3 3 3 3 2 3 2 3 2 2 3 4 3 4 4 4 4 4 4 4 4 4 4 4 7 7 7 9 7 9 9 9 9 4 4 4 4 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 7 6 1 1 6 1 6 6 1 1 1 1 7 5 5 5 5 5 5 5 5 5 5 5 10 5 10 10 10 10 5 10 8 
55,13.000000,13418,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,17 18 17 17 17 17 17 5 5 5 5 18 5 9 9 9 3 3 3 4 2 2 2 4 13 2 13 5 13 13 1 15 15 15 7 7 7 7 7 11 20 20 20 20 20 20 20 1 1 1 1 1 8 8 11 8 11 8 8 8 12 12 4 12 4 12 4 12 4 14 14 12 14 12 6 14 10 14 10 10 14 16 16 16 16 16 16 6 6 6 6 19 19 19 18 18 18 18 18 16 
56,46.000000,26626,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 28 23 18 5 18 14 2 29 19 2 21 23 1 28 17 14 25 11 28 28 15 30 6 20 27 5 17 28 7 21 9 25 16 19 10 7 27 9 20 4 22 20 15 1 17 22 22 9 7 19 10 23 26 27 1 8 21 14 26 24 15 29 26 8 13 20 10 24 14 21 11 21 17 14 11 10 26 30 14 20 6 28 8 29 7 26 26 24 4 12 7 1 29 18 16 26 19 5 1 5 25 23 4 10 30 28 13 13 9 29 8 18 9 21 26 18 20 10 17 3 12 27 18 12 22 26 21 14 10 4 4 29 21 13 23 12 26 26 24 25 16 23 26 1 18 24 1 9 12 6 16 4 4 14 28 11 3 24 28 2 30 4 22 2 21 15 21 27 3 1 21 30 21 6 16 3 29 13 9 29 24 1 22 3 22 7 30 8 13 8 16 11 1 
57,47.000000,36476,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 28 23 18 27 18 14 2 29 19 2 21 23 1 28 17 6 25 11 28 28 15 30 16 20 27 27 17 28 7 21 9 23 16 19 10 7 10 9 21 4 22 15 15 25 17 3 17 9 7 19 10 23 19 10 1 8 9 14 12 6 15 15 26 19 13 20 10 11 2 21 11 9 17 11 6 10 8 30 11 27 6 28 8 29 7 19 26 6 4 28 7 1 29 15 16 26 19 5 1 5 25 23 4 15 30 28 13 12 9 29 19 18 9 21 19 18 20 10 17 3 12 27 18 29 17 12 21 2 21 2 4 29 11 13 23 12 12 26 6 17 16 28 26 25 18 24 1 9 12 6 16 4 4 2 28 11 3 24 28 2 5 2 16 2 21 15 21 27 3 1 11 30 11 6 16 22 7 13 9 29 11 1 22 3 22 7 5 8 13 8 16 11 3 
58,47.000000,58850,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 6 23 6 13 16 28 23 18 5 18 14 2 15 19 2 14 23 1 19 17 2 25 14 19 28 15 30 2 27 27 27 17 28 7 21 9 25 17 19 10 7 27 4 27 4 22 10 21 1 23 3 17 9 7 12 10 19 8 30 1 8 10 14 12 24 15 20 26 8 13 20 10 24 14 21 24 21 25 14 11 10 8 30 14 5 6 28 8 29 20 26 26 14 4 28 20 11 29 18 16 26 8 5 1 5 25 23 4 10 30 28 7 12 9 29 8 11 9 10 12 18 27 10 17 3 12 27 11 29 25 12 14 2 10 4 4 29 11 13 23 20 12 26 24 25 16 28 26 25 18 24 18 4 29 6 16 4 14 14 28 11 1 24 28 2 30 2 22 2 21 15 11 27 24 1 11 30 11 2 16 3 20 13 10 29 14 18 3 3 22 27 30 8 13 8 16 11 20 
59,46.000000,44247,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 28 6 13 16 1 23 18 30 18 14 2 20 19 2 21 23 1 19 17 2 25 11 28 17 15 30 6 20 5 5 17 28 7 21 9 25 17 19 10 7 30 4 27 4 22 20 15 1 17 3 17 9 7 12 10 23 12 30 1 8 10 14 12 6 15 15 26 19 13 5 10 24 14 21 24 9 17 14 11 10 26 30 14 5 6 28 8 29 5 12 26 6 4 18 7 11 29 15 16 12 19 5 1 30 25 23 4 27 30 28 13 12 9 29 19 21 9 10 12 18 5 10 17 6 12 27 11 29 17 12 21 2 10 4 4 18 21 13 23 12 12 26 6 25 16 28 26 25 18 24 1 4 12 6 16 4 4 14 1 11 6 24 28 2 30 4 17 2 21 10 21 27 6 1 21 30 21 2 16 3 20 13 10 29 24 1 17 3 22 5 30 8 13 8 2 11 9 
60,48.000000,26853,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 29 23 29 5 29 11 2 20 19 2 21 23 1 19 17 6 25 11 19 19 15 30 16 5 27 5 17 29 7 21 9 17 16 19 10 7 5 9 27 14 22 20 15 25 17 17 17 9 7 12 10 19 26 30 1 8 21 14 13 6 15 20 13 19 13 5 10 24 24 21 24 21 17 24 24 27 26 30 11 5 6 28 26 29 5 12 26 6 4 12 7 18 29 15 16 13 19 5 1 5 17 23 4 15 30 19 7 13 9 29 26 18 9 27 12 18 27 27 17 3 7 27 18 29 17 13 11 2 10 2 4 29 11 13 23 7 12 26 6 17 16 19 26 25 18 24 18 9 12 6 16 14 14 14 18 11 1 24 28 6 5 2 16 2 21 15 15 27 3 1 11 30 11 6 16 22 20 13 10 29 24 1 22 3 22 7 5 8 13 8 16 11 29 
61,48.000000,36156,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 29 23 29 5 15 14 2 29 19 2 21 23 29 19 17 6 25 11 19 23 15 30 3 27 27 27 17 28 7 9 9 25 17 19 10 7 27 9 27 9 22 20 15 1 23 1 17 9 7 12 10 23 26 27 1 8 9 9 12 24 15 20 13 8 13 20 10 24 14 21 24 9 23 14 11 10 26 5 14 5 6 28 26 29 7 12 26 1 4 12 7 1 29 15 16 13 19 5 1 5 25 23 4 15 5 28 7 13 9 29 26 15 9 10 12 29 27 27 17 3 12 27 18 12 17 12 21 2 9 4 4 29 21 13 23 7 12 26 6 23 16 28 26 28 18 24 1 9 12 3 16 4 14 14 28 9 3 24 28 2 5 2 22 2 21 20 15 27 3 1 21 30 21 6 16 22 20 13 9 29 14 1 22 3 22 7 5 8 7 8 16 11 30 
62,42.000000,57525,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 15 22 25 6 13 16 28 23 18 27 18 14 2 29 19 2 11 23 1 19 17 2 25 11 19 25 15 30 6 20 27 27 17 28 7 21 9 25 16 19 10 7 10 9 15 4 22 15 15 25 25 3 22 9 13 12 10 19 8 30 18 8 21 14 12 24 15 29 26 8 13 7 10 24 2 21 24 21 25 11 11 10 8 30 14 7 6 25 8 29 7 8 26 24 4 12 13 11 29 18 16 26 8 5 3 30 25 23 4 15 30 28 13 12 9 29 8 18 9 21 12 18 20 10 17 3 12 10 18 29 25 26 21 2 10 2 4 29 11 13 23 12 12 26 24 25 16 28 26 25 18 24 18 4 12 6 16 4 14 2 1 11 3 2 28 2 30 2 22 2 21 15 15 27 3 1 11 30 11 6 22 3 15 12 10 12 24 1 22 3 22 7 30 8 13 8 16 11 27 
63,47.000000,42055,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 28 22 13 16 28 23 18 5 18 14 2 29 12 2 21 23 28 19 17 6 25 11 19 28 11 30 16 20 5 5 17 28 5 21 9 25 17 8 10 7 30 4 5 14 22 15 11 25 17 25 17 9 7 12 10 19 8 30 1 8 21 14 12 6 15 29 26 8 13 20 21 24 2 21 6 9 23 24 1 10 26 30 14 5 3 28 8 29 20 26 26 3 4 29 7 1 29 18 16 13 8 5 1 30 25 23 4 21 30 28 7 13 9 29 8 11 9 21 12 18 20 27 17 3 12 27 11 29 17 13 11 2 21 2 4 29 11 13 23 7 12 26 6 25 16 19 26 25 18 24 1 14 12 3 16 4 2 2 28 11 25 6 28 6 30 2 22 2 21 15 11 27 3 1 11 30 11 6 16 22 20 13 9 29 24 1 22 3 22 5 5 8 7 8 16 11 7 
64,46.000000,27779,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 17 6 13 16 18 23 18 5 15 14 2 29 19 2 21 23 1 19 17 6 25 11 28 1 15 30 6 20 15 27 17 18 13 21 9 25 16 19 10 13 30 9 27 14 22 20 15 1 17 22 16 9 13 19 10 23 8 30 1 8 21 14 12 24 15 29 26 19 13 20 21 24 2 21 11 21 17 14 1 10 8 30 14 7 6 28 8 29 7 8 26 1 4 29 13 18 29 15 16 26 19 5 1 30 25 23 4 15 30 28 13 13 9 29 8 18 9 15 12 18 20 27 17 3 12 15 18 29 17 26 21 2 15 4 4 29 15 13 23 29 12 26 24 25 16 23 26 1 18 24 1 21 12 6 16 14 14 14 18 11 22 24 18 2 30 2 22 2 21 15 15 27 3 1 15 30 11 6 16 22 20 13 9 29 14 1 22 3 22 7 30 8 13 8 6 11 25 
65,46.000000,37897,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 3 25 3 13 16 25 23 18 5 11 14 2 15 19 2 14 23 1 28 22 2 25 11 19 25 15 30 3 20 27 27 17 28 7 21 4 25 16 19 10 7 10 4 27 4 22 15 15 25 17 3 22 21 7 12 10 19 8 27 1 8 21 14 12 6 15 15 26 19 13 20 10 24 2 21 24 21 25 14 6 10 8 30 14 27 6 25 8 18 20 8 26 3 4 18 20 11 29 11 16 26 19 5 3 5 25 23 4 15 30 28 7 12 9 29 8 11 4 21 12 18 27 10 17 3 12 27 11 18 22 12 21 2 21 2 4 18 11 13 23 12 12 26 6 25 16 28 26 25 18 24 1 14 12 6 16 4 14 2 25 14 3 6 28 2 30 2 22 2 21 15 21 27 3 3 11 30 11 6 16 3 20 13 14 29 24 1 22 3 22 7 5 8 13 8 16 11 13 
66,49.000000,59310,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ,19 20 3 1 6 13 16 18 23 18 5 15 14 2 15 19 2 21 23 1 28 17 2 25 11 28 1 15 30 6 20 20 27 17 1 7 9 9 25 16 19 10 7 10 9 10 4 22 20 21 1 17 3 22 9 7 12 10 28 19 10 1 8 9 14 12 6 15 21 26 19 13 20 10 24 2 21 24 9 22 14 11 10 26 30 14 20 6 28 8 18 7 26 26 6 4 18 7 11 21 21 16 26 19 5 1 5 25 23 4 9 30 28 13 13 9 18 8 11 9 10 12 18 20 10 16 3 12 10 11 18 3 26 21 2 9 4 4 18 11 13 1 13 26 26 6 25 16 28 26 25 11 24 11 9 12 6 16 4 4 2 1 14 3 2 18 2 30 4 22 2 9 15 21 27 3 1 11 30 11 6 16 3 20 13 9 15 14 11 22 3 22 7 5 8 13 8 2 11 21 
67,46.000000,44228,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 3 25 3 13 16 28 23 18 5 15 14 2 10 19 2 21 23 1 28 17 6 25 11 28 25 15 30 6 20 27 5 17 28 7 21 9 25 22 19 10 7 30 4 27 14 22 15 15 25 17 3 22 9 7 29 10 23 19 30 1 8 9 14 29 6 15 20 13 19 13 20 10 24 2 21 24 9 22 2 11 10 28 30 14 27 6 28 19 29 20 12 26 24 4 18 7 24 29 15 16 13 19 5 1 5 25 23 4 15 30 28 7 7 9 29 12 15 9 10 29 18 20 27 17 3 7 27 18 29 22 12 21 2 10 4 4 18 11 13 23 20 12 26 6 25 22 28 26 25 21 24 11 4 18 6 16 4 4 14 25 14 3 6 28 6 5 4 22 2 9 15 11 27 3 1 11 30 14 6 22 3 20 7 9 21 24 1 22 3 22 7 5 8 7 8 22 11 30 
68,43.000000,27412,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 3 23 3 13 16 18 23 29 5 29 14 2 29 19 2 11 23 1 19 17 6 1 11 19 28 15 30 3 20 20 27 17 28 13 21 10 25 22 8 10 7 27 9 20 14 22 15 11 1 23 3 22 21 7 8 10 19 8 30 1 8 21 14 26 24 15 29 26 8 13 20 10 24 24 21 11 21 23 11 18 10 26 30 14 20 24 28 8 29 7 26 26 1 4 12 7 18 29 18 16 26 8 5 1 7 25 23 4 15 5 12 13 13 10 29 8 18 9 10 12 18 20 10 17 3 12 21 18 29 25 26 21 2 10 2 14 29 11 13 23 12 26 26 24 25 16 19 26 1 18 24 18 21 12 3 16 4 14 14 1 11 1 24 28 2 27 2 22 2 21 15 11 27 3 1 11 30 11 6 22 3 15 12 10 29 14 18 22 3 22 7 7 8 13 8 16 11 11 
69,47.000000,35788,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 28 23 29 5 15 14 2 20 19 2 11 23 28 19 17 6 25 11 19 28 15 30 3 20 5 5 17 28 7 21 9 28 16 19 10 7 30 4 27 4 22 20 15 28 23 22 17 21 7 12 10 19 8 30 1 8 21 14 12 24 15 20 26 19 13 7 10 24 24 14 24 14 23 11 1 10 8 30 14 5 3 28 8 29 7 8 26 3 4 28 7 1 29 15 16 13 19 5 1 30 28 23 4 20 30 28 13 13 9 29 8 11 9 10 12 18 20 27 23 3 7 27 18 12 22 12 11 14 10 2 4 29 11 13 23 7 26 26 6 25 16 28 26 28 18 24 1 4 12 3 16 4 4 14 28 11 3 6 28 6 30 2 22 2 21 20 15 27 3 1 11 30 11 3 22 22 20 13 9 20 24 1 22 3 22 7 5 8 13 8 16 11 22 
70,49.000000,59980,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 28 6 30 16 18 23 18 30 15 14 2 15 19 2 21 23 18 19 17 2 25 11 28 28 15 30 2 27 27 5 17 28 5 21 9 25 22 19 10 7 30 21 27 14 22 27 15 1 22 3 22 21 7 29 10 19 12 30 1 8 21 14 12 24 15 15 26 8 13 27 10 24 24 21 2 21 23 14 11 10 26 30 14 5 6 28 8 29 5 12 26 24 2 29 7 11 29 15 16 13 19 5 1 30 25 23 4 27 30 28 7 7 9 29 12 15 21 27 12 18 27 27 17 3 29 27 18 29 25 13 21 2 10 2 4 15 15 13 23 20 12 26 6 25 16 28 26 1 18 24 18 14 29 6 16 4 14 14 18 11 3 24 28 2 30 2 22 2 21 15 15 27 3 1 21 30 11 2 22 3 20 7 9 29 14 1 22 3 22 5 30 8 5 8 2 11 27 
71,47.000000,41641,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,19 20 22 23 3 13 16 28 23 18 5 18 24 2 20 19 2 21 23 1 28 17 6 25 24 19 23 15 30 22 20 27 5 17 28 5 21 9 25 16 8 10 7 27 9 27 14 22 20 15 25 17 25 22 9 7 12 10 23 8 5 1 8 9 14 12 6 15 20 12 8 13 20 10 6 24 21 6 9 25 24 18 10 26 5 14 5 3 28 8 18 20 12 12 3 2 29 7 1 29 18 16 12 8 5 1 5 25 23 4 15 5 28 7 13 9 29 8 18 9 27 12 18 27 27 17 22 12 27 18 29 25 12 24 2 10 2 4 18 15 13 23 7 12 26 3 25 16 28 26 25 18 24 1 9 29 3 16 4 14 2 28 24 25 6 28 6 5 2 22 2 21 15 15 27 3 1 15 30 11 6 16 25 20 13 10 29 24 1 22 3 22 7 5 8 13 8 16 11 5 
